run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,29.681434031426367,24.488663311484178
2,1.0,30.803340364572435,25.022066211739233
3,1.0,31.10328522151885,24.438930242361526
4,1.0,30.59600382082676,24.647486916516304
5,1.0,30.814314925739687,24.76452573169467
6,1.0,30.89182551032272,24.796583217899567
7,1.0,30.434755067932908,24.9001496308449
8,1.0,30.75173640654124,25.025952002093142
9,1.0,30.44874975924986,24.804643023176595
10,1.0,30.360596302616504,24.728314824394737
11,0.6065761532401006,28.099852802444897,22.995705825244855
12,0.3679346296795588,24.904157151025732,20.54883492018325
13,0.22318037231484725,23.140396519056132,18.937444884231574
14,0.13537589171743386,19.88346577416823,16.558474129225278
15,0.08211578763940967,21.079007652410013,16.948291392906302
16,0.05,20.634423753479457,17.12110594578275
17,0.05,20.166738678910068,16.359243326531505
18,0.05,19.647919871022353,16.338730736462647
19,0.05,18.96315490001312,15.726933876466807
20,0.05,18.838417875082794,15.71936080505428
21,0.05,18.851252632965522,15.530029066977301
22,0.05,19.979760239906675,16.335251581839692
23,0.05,19.803666364772997,16.106292890829025
24,0.05,18.03944605244435,14.755638608833516
25,0.05,18.64281621771742,15.06622096632445
26,0.05,19.480333648495375,15.813738777649027
27,0.05,19.22835494471028,15.427719148035353
28,0.05,17.76372168445628,14.514770242043866
29,0.05,20.00926131827199,16.42116640971718
30,0.05,17.480098447374946,14.533125399614574
31,0.05,18.825687631252944,15.308044901368921
32,0.05,19.592083236087657,16.193956926978817
33,0.05,19.852006451809434,15.839290994535288
34,0.05,19.368179967164686,15.694256757328164
35,0.05,18.15225417396196,15.09211767062057
36,0.05,18.997673091882987,15.321346763538886
37,0.05,21.04374322597496,16.899618353350945
38,0.05,19.952227800979777,16.12060721506679
39,0.05,18.699907774210477,15.490570640043236
40,0.05,19.654123644078744,16.109112723843467
41,0.05,18.818043342705554,15.45252627596226
42,0.05,19.41325272784088,16.234054916548526
43,0.05,19.779899392896205,16.420347032757928
44,0.05,20.333757486920604,16.81952996449254
45,0.05,19.713668582925777,16.04422072795817
46,0.05,18.719020362891793,15.674836459111791
47,0.05,20.256070012552378,16.155907723459595
48,0.05,17.461200123651377,14.387537376059173
49,0.05,18.94931026875029,15.56953787574568
50,0.05,19.9804863447348,16.308215920381578
